RPC,Source,Description,Lithology,Vs [km/s],VpVs ratio,Rho [kg/m³]
104818,RPC,KIAMICHI FORMA. 4,sandstone,1.5957,1.9086,2109.1206
104893,RPC,KIAMICHI REMOLD 3,sandstone,1.5171,1.9779,2090
104652,RPC,NAVAJO ARCO 2,SANDST.,2.0415,1.6476,2131.99
104752,RPC,NAVAJO ARCO REMOL 1,SANDST.,1.6062,1.9894,2184.9392
104598,RPC,FERRON 82-3 1677.5,sandstone,2.4486,1.7306,2472.2308
104601,RPC,FERRON 82-3 1677.5,sandstone,2.4387,1.7711,2458.9597
104617,RPC,FERRON 82-3 1677.5,sandstone,2.7267,1.6624,2397.1364
104700,RPC,NAVAJO ARCO 3,SANDST.,2.085,1.6971,2047.3621
104674,RPC,NAVAJO ARCO 2,SANDST.,2.0154,1.7489,2210.5288
104678,RPC,NAVAJO ARCO 2,SANDST.,2.0808,1.7134,2141.6202
104657,RPC,NAVAJO ARCO 2,SANDST.,2.1177,1.6257,2194.5844
104845,RPC,KIAMICHI FORMA. 1,sandstone,1.9608,1.7096,2080.5501
104666,RPC,NAVAJO ARCO 2,SANDST.,1.8192,1.8361,2158.1718
104649,RPC,NAVAJO ARCO 2,SANDST.,2.0928,1.5859,2191.4937
104711,RPC,NAVAJO ARCO REMOL 3,SANDST.,2.887,1.5213,2178.4004
104777,RPC,NAVAJO ARCO REMOL 3,SANDST.,1.7124,1.9739,2007.8981
104827,RPC,KIAMICHI FORMA. 1,sandstone,1.758,1.7549,2115.6986
104683,RPC,NAVAJO ARCO 2,SANDST.,2.1078,1.7161,2187.0308
104712,RPC,NAVAJO ARCO REMOL 3,SANDST.,3.455,1.5647,2115.2519
104701,RPC,NAVAJO ARCO 3,SANDST.,2.1573,1.6783,2089.8802
104581,RPC,FERRON 82-3 1677.5,sandstone,2.6421,1.5204,2474.6607
104654,RPC,NAVAJO ARCO 2,SANDST.,2.1486,1.5827,2132.7006
104604,RPC,FERRON 82-3 1677.5,sandstone,2.6004,1.6726,2431.9529
104814,RPC,KIAMICHI FORMA. 4,sandstone,1.7346,1.7558,2060.4863
104756,RPC,NAVAJO ARCO REMOL 1,SANDST.,1.6275,1.9703,2145.8217
104828,RPC,KIAMICHI FORMA. 1,sandstone,1.9608,1.5793,2110.1461
104615,RPC,FERRON 82-3 1677.5,sandstone,2.733,1.6617,2430.3765
104817,RPC,KIAMICHI FORMA. 4,sandstone,1.5957,1.8923,2071.6029
104687,RPC,NAVAJO ARCO 3,SANDST.,1.8903,1.647,2079.6865
104608,RPC,FERRON 82-3 1677.5,sandstone,2.6061,1.6748,2397.5048
104612,RPC,FERRON 82-3 1677.5,sandstone,2.7,1.6882,2418.5366
104643,RPC,NAVAJO ARCO 2,SANDST.,2.0133,1.5671,2191.9038
104694,RPC,NAVAJO ARCO 3,SANDST.,2.0256,1.6595,2081.9428
104575,RPC,FERRON 82-3 1677.5,sandstone,2.3733,1.5286,2408.3526
104676,RPC,NAVAJO ARCO 2,SANDST.,2.0187,1.7814,2136.3294
104579,RPC,FERRON 82-3 1677.5,sandstone,2.3733,1.4892,2379.9304
104653,RPC,NAVAJO ARCO 2,SANDST.,2.0448,1.6539,2150
104664,RPC,NAVAJO ARCO 2,SANDST.,1.6458,1.9138,2132.9778
104813,RPC,KIAMICHI FORMA. 4,sandstone,1.7094,1.7622,2128.9407
104890,RPC,KIAMICHI REMOLD 3,sandstone,1.5099,1.9873,2078.2769
104753,RPC,NAVAJO ARCO REMOL 1,SANDST.,1.6275,1.9987,2192.9682
104584,RPC,FERRON 82-3 1677.5,sandstone,2.6421,1.5768,2430.2814
104685,RPC,NAVAJO ARCO 2,SANDST.,2.1114,1.741,2137.4189
104580,RPC,FERRON 82-3 1677.5,sandstone,2.5416,1.5093,2398.0405
104689,RPC,NAVAJO ARCO 3,SANDST.,2.0157,1.6587,2071.9835
104770,RPC,NAVAJO ARCO REMOL 3,SANDST.,1.5288,1.9755,2059.4709
104600,RPC,FERRON 82-3 1677.5,sandstone,2.4198,1.7512,2443.5216
104619,RPC,FERRON 82-3 1677.5,sandstone,2.4078,1.6576,2400.8516
104644,RPC,NAVAJO ARCO 2,SANDST.,1.9533,1.5618,2130.3759
104826,RPC,KIAMICHI FORMA. 1,sandstone,1.6929,1.8003,2081.0904
104843,RPC,KIAMICHI FORMA. 1,sandstone,1.9248,1.6661,2078.0542
104621,RPC,FERRON 82-3 1677.5,sandstone,2.5494,1.6565,2350.5812
104622,RPC,FERRON 82-3 1677.5,sandstone,2.5788,1.6748,2369.1972
104634,RPC,FERRON 82-3 1677.5,sandstone,2.8266,1.6186,2439
104706,RPC,NAVAJO ARCO 3,SANDST.,2.184,1.6898,2082
104669,RPC,NAVAJO ARCO 2,SANDST.,1.8768,1.8314,2204.7144
104856,RPC,KIAMICHI REMOLD 2,sandstone,3.665,1.6145,2164.8756
104830,RPC,KIAMICHI FORMA. 1,sandstone,2.0754,1.5374,2039.4527
